function,thinking_time,scores_mean,scores_std,num_moves_mean,num_moves_std,times_mean,times_std
max_reward,0.1,198.92,77.80921282213309,25.4,4.3954521951671826,4.849823288917541,0.8184187279818194
max_reward,0.5,355.92,94.60398300283133,19.38,2.737809343252375,13.966169168949127,29.361047645885343
max_reward,1,399.43,109.94910231557147,18.07,2.676770442155995,17.87381328821182,2.91748971617272
max_reward,2,415.56,106.22959286375902,17.22,2.543933961407018,30.01439088344574,5.149153153464678
max_reward,4,450.38,98.42101198423028,16.38,2.283768814919759,49.79093554019928,8.670813443527985
max_visits,0.1,143.19,50.12278823050449,27.69,4.006731835299188,5.402063739299774,0.7775855477545134
max_visits,0.5,260.26,75.68085887461902,21.56,2.916573331839952,12.377670121192931,1.6923459440879416
max_visits,1,365.24,93.78583261879163,19.22,3.2789632507852233,19.133423702716826,3.5928765142715196
max_visits,2,404.07,90.54526547534111,18.03,2.5395078263317084,31.545341308116914,5.214142492944529
max_visits,4,422.85,89.45818855756023,17.25,2.3680160472429237,52.33542340517044,8.748633790639502
max_visits_50_reward_50,0.1,200.68,73.82829809768067,25.4,4.18568990729127,4.945060615539551,0.8173179586469401
max_visits_50_reward_50,0.5,346.95,92.37233081394017,19.77,3.152316608464321,11.320512976646423,1.8412495587300401
max_visits_50_reward_50,1,386.9,108.99600910125103,18.54,2.6773867856549978,18.361241409778597,2.877798433411062
max_visits_50_reward_50,2,395.25,93.87964369340139,18.17,2.87769004585275,31.938802316188813,5.939096987237806
max_visits_50_reward_50,4,427.73,91.47708510878557,17.27,2.5840085139178623,52.81799264192581,9.228101974176761
max_visits_25_reward_75,0.1,191.47,70.17356411071052,25.63,4.122268792788748,4.9543715405464175,0.7860361784187149
max_visits_25_reward_75,0.5,338.52,97.23286275740317,20.14,2.9867038688159226,11.454116785526276,1.7350198370847247
max_visits_25_reward_75,1,381.18,98.70444569521679,18.68,3.0294553966018385,18.61971361398697,3.263928117581281
max_visits_25_reward_75,2,421.2,102.40410148036064,17.6,3.0724582991474434,30.951078803539275,6.1388345189461155
max_visits_25_reward_75,4,433.05,96.72604354567594,16.81,2.4523254270182004,51.515703744888306,9.327018159767906
max_visits_75_reward_25,0.1,193.41,80.12753521730218,25.67,4.096474093656641,4.996186096668243,0.8063220268815894
max_visits_75_reward_25,0.5,347.78,86.43674912905968,19.86,2.817871537171274,11.325607657432556,1.6535167632781904
max_visits_75_reward_25,1,383.89,111.59721277881451,19.01,2.98829382758791,18.84688831090927,3.283347302119033
max_visits_75_reward_25,2,408.75,96.79952220956464,17.93,2.573926960890693,31.29473979473114,5.2723917894262655
max_visits_75_reward_25,4,427.3,104.8013835786532,17.04,2.353380547212881,52.175115766525266,8.791773466065353
max_reward_optimistic,0.1,207.03,67.24930557262283,25.43,4.176733173186911,4.9548493671417235,0.8036519779034953
max_reward_optimistic,0.5,363.71,106.358196205088,19.33,2.7966229635043764,10.914439871311188,1.6363763213704068
max_reward_optimistic,1,410.52,96.84105327803906,18.06,2.572236381050544,17.50401431083679,2.6943704060220965
max_reward_optimistic,2,419.33,91.80675955505673,17.99,2.4919670944858,31.03653476715088,4.933240179854908
max_reward_optimistic,4,441.53,102.07550685644426,17.39,2.6791603162184976,52.808536310195926,9.509853007357117
max_reward_pessimistic,0.1,186.22,68.09854330306926,23.98,3.7602659480414413,4.684057514667511,0.7327154583835229
max_reward_pessimistic,0.5,264.26,75.8867076634637,21.24,3.323010683100492,12.156136043071747,1.9483988222589559
max_reward_pessimistic,1,371.85,100.82969552666516,18.71,3.2227162456536567,18.578148195743562,3.4373428967996285
max_reward_pessimistic,2,411.06,94.65451072188796,17.44,2.4912647390432032,30.424784350395203,5.01438389486984
max_reward_pessimistic,4,431.07,94.53658075052218,16.61,2.3532743146518214,50.29259230613709,9.085265768848224
max_reward_median,0.1,203.62,76.01589044403808,25.14,3.630482061655173,4.812977721691132,0.7169793670426872
max_reward_median,0.5,365.54,99.06890733222004,18.58,2.5619523805098328,10.509007937908173,1.520666904532605
max_reward_median,1,392.56,98.77128327606157,17.6,2.6457513110645903,17.34963031053543,2.796170605971877
max_reward_median,2,415.7,106.74544486768511,16.76,2.404662138430262,29.36951995611191,4.7890720214002584
max_reward_median,4,433.63,101.03332667986342,16.21,2.4219620145658767,50.03274222135544,9.305006714021944
